name	kind	volume	chapter_code	chapter_title	label	source_path
Concatenation inequality	proposition	VI	VI/31	Codimension	prop:vi31-concatenation	books/vol06_algebraic_geometry/chapters/ch31_codimension/chapter.tex
Cone	definition	VIII	VIII/07	Mapping Cones	def:viii07-cone	books/vol08_algebraic_topology/chapters/ch07_mapping_cones/chapter.tex
Cone criterion	theorem	VIII	VIII/24	Mapping Cones of Chain Maps	thm:viii24-quasi-cone	books/vol08_algebraic_topology/chapters/ch24_mapping_cones_of_chain_maps/chapter.tex
Cone of a cofibration-like inclusion	proposition	VIII	VIII/07	Mapping Cones	prop:viii07-inclusion	books/vol08_algebraic_topology/chapters/ch07_mapping_cones/chapter.tex
Cone of the identity	proposition	VIII	VIII/07	Mapping Cones	prop:viii07-id	books/vol08_algebraic_topology/chapters/ch07_mapping_cones/chapter.tex
Cones	proposition	VII	VII/18	Ruled and Developable Surfaces	prop:vii18-cone-developable	books/vol07_differential_geometry/chapters/ch18_ruled_and_developable_surfaces/chapter.tex
Cones are contractible	proposition	VIII	VIII/07	Mapping Cones	prop:viii07-cone-contractible	books/vol08_algebraic_topology/chapters/ch07_mapping_cones/chapter.tex
Conformal change	definition	VII	VII/20	Riemannian Metrics	def:vii20-conformal	books/vol07_differential_geometry/chapters/ch20_riemannian_metrics/chapter.tex
Conformal covariance	theorem	VII	VII/28	Weyl Curvature	thm:vii28-conformal	books/vol07_differential_geometry/chapters/ch28_weyl_curvature/chapter.tex
Conformal parametrization	definition	VII	VII/19	Minimal Surfaces	def:vii19-conformal	books/vol07_differential_geometry/chapters/ch19_minimal_surfaces/chapter.tex
Conformality	proposition	VII	VII/32	The Poincaré Metric	prop:vii32-conformal	books/vol07_differential_geometry/chapters/ch32_the_poincar_metric/chapter.tex
Connected manifolds have two orientations	proposition	VII	VII/10	Orientation and Integration	prop:vii10-two-orientations	books/vol07_differential_geometry/chapters/ch10_orientation_and_integration/chapter.tex
Connected space	definition	VI	VI/05	Irreducibility, Components and Connectedness	UNLABELLED	books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/chapter.tex
Connected subsets of the real line	theorem	II	II/07	Connectedness and Path Connectedness	thm:ii07-04	books/vol02_real_analysis/chapters/ch07_connectedness_and_path_connectedness/chapter.tex
Connectedness--idempotent criterion	theorem	VI	VI/05	Irreducibility, Components and Connectedness	thm:vi05-idempotent-criterion	books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/chapter.tex
Connection coefficients	definition	VII	VII/21	Connections	def:vii21-christoffel-general	books/vol07_differential_geometry/chapters/ch21_connections/chapter.tex
Connection one-form matrix	definition	VII	VII/21	Connections	def:vii21-connection-forms	books/vol07_differential_geometry/chapters/ch21_connections/chapter.tex
Consequences of preserving \(I\)	proposition	VII	VII/15	First and Second Fundamental Forms	prop:vii15-isometry-consequences	books/vol07_differential_geometry/chapters/ch15_first_and_second_fundamental_forms/chapter.tex
Constancy in dimension at least three	proposition	VII	VII/27	Ricci and Scalar Curvature	prop:vii27-einstein-lambda	books/vol07_differential_geometry/chapters/ch27_ricci_and_scalar_curvature/chapter.tex
Constant attachment	proposition	VIII	VIII/05	Cell Attachments	prop:viii05-constant	books/vol08_algebraic_topology/chapters/ch05_cell_attachments/chapter.tex
Constant curvature	theorem	VII	VII/32	The Poincaré Metric	thm:vii32-curvature	books/vol07_differential_geometry/chapters/ch32_the_poincar_metric/chapter.tex
Constant degree with multiplicity	theorem	IV	IV/24	Branched Coverings	thm:iv24-03	books/vol04_complex_analysis/chapters/ch24_branched_coverings/chapter.tex
Constant map cone	proposition	VIII	VIII/07	Mapping Cones	prop:viii07-constant	books/vol08_algebraic_topology/chapters/ch07_mapping_cones/chapter.tex
Constant sheet number on connected bases	proposition	VIII	VIII/10	Covering Spaces	prop:viii10-sheet-number	books/vol08_algebraic_topology/chapters/ch10_covering_spaces/chapter.tex
Constant speed	proposition	VII	VII/23	Geodesics	prop:vii23-constant-speed	books/vol07_differential_geometry/chapters/ch23_geodesics/chapter.tex
Constants vanish	proposition	VII	VII/04	Tangent Spaces	prop:vii04-constants	books/vol07_differential_geometry/chapters/ch04_tangent_spaces/chapter.tex
Continuation along a fixed chain is unique	theorem	IV	IV/15	Analytic Continuation	thm:iv15-02	books/vol04_complex_analysis/chapters/ch15_analytic_continuation/chapter.tex
Continuity criterion for linear functionals	theorem	III	III/15	Test-Function Spaces	thm:iii15-04	books/vol03_fourier_distributions_pde/chapters/ch15_test_function_spaces/chapter.tex
Continuity from above	theorem	III	III/01	Sigma-Algebras and Measures	thm:iii01-02	books/vol03_fourier_distributions_pde/chapters/ch01_sigma_algebras_and_measures/chapter.tex
Continuity from below	theorem	III	III/01	Sigma-Algebras and Measures	thm:iii01-01	books/vol03_fourier_distributions_pde/chapters/ch01_sigma_algebras_and_measures/chapter.tex
Continuity of differentiation	theorem	III	III/16	Distributions and Distributional Derivatives	thm:iii16-03	books/vol03_fourier_distributions_pde/chapters/ch16_distributions_and_distributional_derivatives/chapter.tex
Continuity of morphisms	theorem	VI	VI/04	Morphisms of Affine Algebraic Sets	thm:vi04-continuity	books/vol06_algebraic_geometry/chapters/ch04_morphisms_affine_algebraic_sets/chapter.tex
Continuity of realization	theorem	VIII	VIII/15	Simplicial Complexes	thm:viii15-map-continuity	books/vol08_algebraic_topology/chapters/ch15_simplicial_complexes/chapter.tex
Continuity of the induced map	theorem	VI	VI/07	The Spectrum of a Ring	UNLABELLED	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/chapter.tex
Continuous degree	theorem	VIII	VIII/03	Degree of Maps	thm:viii03-continuous	books/vol08_algebraic_topology/chapters/ch03_degree_of_maps/chapter.tex
Continuous dependence	theorem	II	II/19	Elementary Existence Theory for ODEs	thm:ii19-03	books/vol02_real_analysis/chapters/ch19_elementary_existence_theory_for_odes/chapter.tex
Continuous first partials imply differentiability	theorem	II	II/08	Differentiability in Several Variables	thm:ii08-04	books/vol02_real_analysis/chapters/ch08_differentiability_in_several_variables/chapter.tex
Continuous functions	proposition	VI	VI/13	Sheaves and Stalks	UNLABELLED	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/chapter.tex
Continuous image theorem	theorem	II	II/06	Compactness	thm:ii06-01	books/vol02_real_analysis/chapters/ch06_compactness/chapter.tex
Continuous image theorem	theorem	II	II/07	Connectedness and Path Connectedness	thm:ii07-01	books/vol02_real_analysis/chapters/ch07_connectedness_and_path_connectedness/chapter.tex
Continuous integrability	theorem	II	II/10	Riemann Integration	thm:ii10-02	books/vol02_real_analysis/chapters/ch10_riemann_integration/chapter.tex
Contracted coordinate lines	proposition	VI	VI/44	Cremona Transformations	prop:vi44-exceptional-lines	books/vol06_algebraic_geometry/chapters/ch44_cremona_transformations/chapter.tex
Contractible implies path connected	proposition	VIII	VIII/02	Homotopy Equivalence and Contractibility	prop:viii02-contract-path	books/vol08_algebraic_topology/chapters/ch02_homotopy_equivalence_and_contractibility/chapter.tex
Contractible means homotopy equivalent to a point	theorem	VIII	VIII/02	Homotopy Equivalence and Contractibility	thm:viii02-point	books/vol08_algebraic_topology/chapters/ch02_homotopy_equivalence_and_contractibility/chapter.tex
Contractible space	definition	VIII	VIII/02	Homotopy Equivalence and Contractibility	def:viii02-contractible	books/vol08_algebraic_topology/chapters/ch02_homotopy_equivalence_and_contractibility/chapter.tex
Contravariance of coordinate rings	theorem	VI	VI/04	Morphisms of Affine Algebraic Sets	thm:vi04-contravariance	books/vol06_algebraic_geometry/chapters/ch04_morphisms_affine_algebraic_sets/chapter.tex
Contravariance under dominance	theorem	VI	VI/27	Integral Schemes and Function Fields	thm:vi27-dominant-field-map	books/vol06_algebraic_geometry/chapters/ch27_integral_schemes_function_fields/chapter.tex
Convergent implies Cauchy	theorem	II	II/03	Sequences and Cauchy Sequences	thm:ii03-01	books/vol02_real_analysis/chapters/ch03_sequences_and_cauchy_sequences/chapter.tex
Convergent recurrences	theorem	II	II/25	Continued Fractions and Approximation Topics	thm:ii25-01	books/vol02_real_analysis/chapters/ch25_continued_fractions_and_approximation_topics/chapter.tex
Convex core	definition	VII	VII/37	Kleinian Groups and Boundary Geometry	def:vii37-convex-core	books/vol07_differential_geometry/chapters/ch37_kleinian_groups_and_boundary_geometry/chapter.tex
Convex sets are contractible	proposition	VIII	VIII/02	Homotopy Equivalence and Contractibility	prop:viii02-convex	books/vol08_algebraic_topology/chapters/ch02_homotopy_equivalence_and_contractibility/chapter.tex
Convolution inversion	theorem	III	III/24	Fundamental Solutions	thm:iii24-01	books/vol03_fourier_distributions_pde/chapters/ch24_fundamental_solutions/chapter.tex
Convolution theorem	theorem	III	III/11	The Fourier Transform	thm:iii11-03	books/vol03_fourier_distributions_pde/chapters/ch11_the_fourier_transform/chapter.tex
Coordinate basis theorem	theorem	VII	VII/04	Tangent Spaces	thm:vii04-coordinate-basis	books/vol07_differential_geometry/chapters/ch04_tangent_spaces/chapter.tex
Coordinate covectors	definition	VII	VII/05	Cotangent Spaces	def:vii05-coordinate-covectors	books/vol07_differential_geometry/chapters/ch05_cotangent_spaces/chapter.tex
Coordinate curves	definition	VII	VII/14	Regular Surfaces	def:vii14-coordinate-curves	books/vol07_differential_geometry/chapters/ch14_regular_surfaces/chapter.tex
Coordinate derivations	definition	VII	VII/04	Tangent Spaces	def:vii04-coordinate-derivations	books/vol07_differential_geometry/chapters/ch04_tangent_spaces/chapter.tex
Coordinate divisors on the cone	proposition	VI	VI/41	Divisor Class Groups	prop:vi41-cone-coordinate-divisors	books/vol06_algebraic_geometry/chapters/ch41_divisor_class_groups/chapter.tex
Coordinate formula	proposition	VII	VII/21	Connections	prop:vii21-coordinate	books/vol07_differential_geometry/chapters/ch21_connections/chapter.tex
Coordinate formula	theorem	VII	VII/26	The Riemann Curvature Tensor	thm:vii26-components	books/vol07_differential_geometry/chapters/ch26_the_riemann_curvature_tensor/chapter.tex
Coordinate formula for \(df\)	theorem	VII	VII/05	Cotangent Spaces	thm:vii05-df-coordinate	books/vol07_differential_geometry/chapters/ch05_cotangent_spaces/chapter.tex
Coordinate formulas agree with Picard addition	proposition	VI	VI/43	Plane Cubics	prop:vi43-coordinate-picard	books/vol06_algebraic_geometry/chapters/ch43_plane_cubics/chapter.tex
Coordinate gradient	proposition	VII	VII/20	Riemannian Metrics	prop:vii20-gradient-coord	books/vol07_differential_geometry/chapters/ch20_riemannian_metrics/chapter.tex
Coordinate invariance	proposition	VII	VII/20	Riemannian Metrics	prop:vii20-density-invariance	books/vol07_differential_geometry/chapters/ch20_riemannian_metrics/chapter.tex
Coordinate ring	definition	VI	VI/03	Coordinate Rings	UNLABELLED	books/vol06_algebraic_geometry/chapters/ch03_coordinate_rings/chapter.tex
Coordinate velocity	proposition	VII	VII/12	Regular Curves	prop:vii12-coordinate-velocity	books/vol07_differential_geometry/chapters/ch12_regular_curves/chapter.tex
Correspondence theorem	theorem	V	V/01	Rings, Ideals and Quotients	thm:v01-02	books/vol05_commutative_algebra/chapters/ch01_rings_ideals_and_quotients/chapter.tex
Cotangent space	definition	VII	VII/05	Cotangent Spaces	def:vii05-cotangent-space	books/vol07_differential_geometry/chapters/ch05_cotangent_spaces/chapter.tex
Cotangent space and embedding dimension	definition	VI	VI/32	Tangent Spaces and Local Geometry	def:vi32-embed-dim	books/vol06_algebraic_geometry/chapters/ch32_tangent_spaces_and_local_geometry/chapter.tex
Cotangent stiffness formula	theorem	VII	VII/41	Discrete Laplacians	thm:vii41-cotan	books/vol07_differential_geometry/chapters/ch41_discrete_laplacians/chapter.tex
Countable atlas	proposition	VII	VII/01	Topological Manifolds	prop:vii01-countable-atlas	books/vol07_differential_geometry/chapters/ch01_topological_manifolds/chapter.tex
Countable subadditivity	theorem	III	III/01	Sigma-Algebras and Measures	thm:iii01-03	books/vol03_fourier_distributions_pde/chapters/ch01_sigma_algebras_and_measures/chapter.tex
Covariant derivative along a curve	definition	VII	VII/21	Connections	def:vii21-along-curve	books/vol07_differential_geometry/chapters/ch21_connections/chapter.tex
Cover criterion	theorem	VI	VI/08	Basic Open Sets D(f)	UNLABELLED	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/chapter.tex
Cover-length vanishing bound	corollary	VI	VI/49	Basic Vanishing Results	cor:vi49-cover-length	books/vol06_algebraic_geometry/chapters/ch49_basic_vanishing_results/chapter.tex
Covering map	definition	VII	VII/01	Topological Manifolds	def:vii01-covering	books/vol07_differential_geometry/chapters/ch01_topological_manifolds/chapter.tex
Covering map	definition	VIII	VIII/10	Covering Spaces	def:viii10-covering-map	books/vol08_algebraic_topology/chapters/ch10_covering_spaces/chapter.tex
Coverings are local homeomorphisms	proposition	VIII	VIII/10	Covering Spaces	prop:viii10-local-homeomorphism	books/vol08_algebraic_topology/chapters/ch10_covering_spaces/chapter.tex
Coverings inject on \(\pi_1\)	theorem	VIII	VIII/11	Lifting Properties	thm:viii11-pi1-injective	books/vol08_algebraic_topology/chapters/ch11_lifting_properties/chapter.tex
Cremona action on the Picard lattice	theorem	VI	VI/45	Blow-Ups	thm:vi45-cremona-picard-action	books/vol06_algebraic_geometry/chapters/ch45_blow_ups/chapter.tex
Cremona transformation	definition	VI	VI/44	Cremona Transformations	def:vi44-cremona	books/vol06_algebraic_geometry/chapters/ch44_cremona_transformations/chapter.tex
Criterion	proposition	VII	VII/30	Riemannian versus Lorentzian Geometry	prop:vii30-time-orientable	books/vol07_differential_geometry/chapters/ch30_riemannian_versus_lorentzian_geometry/chapter.tex
Critical and regular points	definition	VII	VII/05	Cotangent Spaces	def:vii05-critical	books/vol07_differential_geometry/chapters/ch05_cotangent_spaces/chapter.tex
Critical-point criterion	theorem	IV	IV/24	Branched Coverings	thm:iv24-02	books/vol04_complex_analysis/chapters/ch24_branched_coverings/chapter.tex
Cross ratio	definition	VII	VII/33	Möbius Transformations and PSL(2,R)	def:vii33-cross-ratio	books/vol07_differential_geometry/chapters/ch33_m_bius_transformations_and_psl_2_r/chapter.tex
Cross-product criterion	proposition	VII	VII/14	Regular Surfaces	prop:vii14-cross-criterion	books/vol07_differential_geometry/chapters/ch14_regular_surfaces/chapter.tex
Cross-ratio invariance	theorem	IV	IV/16	Möbius Transformations	thm:iv16-02	books/vol04_complex_analysis/chapters/ch16_m_bius_transformations/chapter.tex
Cross-ratio invariance	theorem	VII	VII/33	Möbius Transformations and PSL(2,R)	thm:vii33-cross-invariance	books/vol07_differential_geometry/chapters/ch33_m_bius_transformations_and_psl_2_r/chapter.tex
Cubic group law	definition	VI	VI/43	Plane Cubics	def:vi43-group-law	books/vol06_algebraic_geometry/chapters/ch43_plane_cubics/chapter.tex
Cubic transform bookkeeping	proposition	VI	VI/44	Cremona Transformations	prop:vi44-cubic-transform	books/vol06_algebraic_geometry/chapters/ch44_cremona_transformations/chapter.tex
Cup product	definition	VIII	VIII/29	Cup Products	def:viii29-cup	books/vol08_algebraic_topology/chapters/ch29_cup_products/chapter.tex
Curl theorem	corollary	VII	VII/11	Stokes' Theorem	cor:vii11-curl	books/vol07_differential_geometry/chapters/ch11_stokes_theorem/chapter.tex
Curvature	definition	VII	VII/13	Frenet Frames, Curvature and Torsion	def:vii13-curvature	books/vol07_differential_geometry/chapters/ch13_frenet_frames_curvature_and_torsion/chapter.tex
Curvature formulas	theorem	VII	VII/17	Principal, Gaussian and Mean Curvature	thm:vii17-formulas	books/vol07_differential_geometry/chapters/ch17_principal_gaussian_and_mean_curvature/chapter.tex
Curvature operator	definition	VII	VII/26	The Riemann Curvature Tensor	def:vii26-curvature-operator	books/vol07_differential_geometry/chapters/ch26_the_riemann_curvature_tensor/chapter.tex
Curvature survives normal coordinates	proposition	VII	VII/26	The Riemann Curvature Tensor	prop:vii26-normal	books/vol07_differential_geometry/chapters/ch26_the_riemann_curvature_tensor/chapter.tex
Curvature tensor of a space form	theorem	VII	VII/26	The Riemann Curvature Tensor	thm:vii26-space-form-r	books/vol07_differential_geometry/chapters/ch26_the_riemann_curvature_tensor/chapter.tex
Curve characterization	theorem	VII	VII/06	Submanifolds and Products	thm:vii06-curve-tangent	books/vol07_differential_geometry/chapters/ch06_submanifolds_and_products/chapter.tex
Curve characterization	theorem	VII	VII/14	Regular Surfaces	thm:vii14-curve-tangent	books/vol07_differential_geometry/chapters/ch14_regular_surfaces/chapter.tex
Curve realization	theorem	VII	VII/04	Tangent Spaces	thm:vii04-curve-realization	books/vol07_differential_geometry/chapters/ch04_tangent_spaces/chapter.tex
Cusp	definition	VII	VII/35	Fuchsian Groups	def:vii35-cusp	books/vol07_differential_geometry/chapters/ch35_fuchsian_groups/chapter.tex
Cut locus, computational viewpoint	definition	VII	VII/38	Discrete Geodesic Problems	def:vii38-cut	books/vol07_differential_geometry/chapters/ch38_discrete_geodesic_problems/chapter.tex
CW complex	definition	VIII	VIII/06	CW Complexes	def:viii06-cw	books/vol08_algebraic_topology/chapters/ch06_cw_complexes/chapter.tex
CW pair	definition	VIII	VIII/06	CW Complexes	def:viii06-pair	books/vol08_algebraic_topology/chapters/ch06_cw_complexes/chapter.tex
CW quotient	proposition	VIII	VIII/06	CW Complexes	prop:viii06-quotient	books/vol08_algebraic_topology/chapters/ch06_cw_complexes/chapter.tex
CW subcomplex inclusion	theorem	VIII	VIII/08	Homotopic Attaching Maps	thm:viii08-cw-cofibration	books/vol08_algebraic_topology/chapters/ch08_homotopic_attaching_maps/chapter.tex
Cycles and boundaries	definition	VIII	VIII/16	Chain Complexes	def:viii16-cycles-boundaries	books/vol08_algebraic_topology/chapters/ch16_chain_complexes/chapter.tex
Cyclic trace identity	theorem	I	I/08	Determinants and Trace	thm:i08-02	books/vol01_linear_algebra/chapters/ch08_determinants_and_trace/chapter.tex
Cylinder retract	proposition	VIII	VIII/07	Mapping Cones	prop:viii07-cylinder-retract	books/vol08_algebraic_topology/chapters/ch07_mapping_cones/chapter.tex
Cylinders	proposition	VII	VII/18	Ruled and Developable Surfaces	prop:vii18-cyl-developable	books/vol07_differential_geometry/chapters/ch18_ruled_and_developable_surfaces/chapter.tex
Darboux criterion	theorem	II	II/10	Riemann Integration	thm:ii10-01	books/vol02_real_analysis/chapters/ch10_riemann_integration/chapter.tex
Deck group of \(z^n\)	theorem	VIII	VIII/12	Deck Transformations and Group Actions	thm:viii12-power-deck	books/vol08_algebraic_topology/chapters/ch12_deck_transformations_and_group_actions/chapter.tex
Deck group of a regular cover	theorem	VIII	VIII/12	Deck Transformations and Group Actions	thm:viii12-quotient	books/vol08_algebraic_topology/chapters/ch12_deck_transformations_and_group_actions/chapter.tex
Deck group of the circle cover	theorem	VIII	VIII/12	Deck Transformations and Group Actions	thm:viii12-circle-deck	books/vol08_algebraic_topology/chapters/ch12_deck_transformations_and_group_actions/chapter.tex
Deck transformation	definition	VIII	VIII/12	Deck Transformations and Group Actions	def:viii12-deck	books/vol08_algebraic_topology/chapters/ch12_deck_transformations_and_group_actions/chapter.tex
Defined pullback	definition	VI	VI/40	Cartier Divisors	def:vi40-pullback-defined	books/vol06_algebraic_geometry/chapters/ch40_cartier_divisors/chapter.tex
Deformation retract	definition	VIII	VIII/02	Homotopy Equivalence and Contractibility	def:viii02-deformation-retract	books/vol08_algebraic_topology/chapters/ch02_homotopy_equivalence_and_contractibility/chapter.tex
Deformation retract	corollary	VIII	VIII/20	Homotopy Invariance	cor:viii20-deformation-retract	books/vol08_algebraic_topology/chapters/ch20_homotopy_invariance/chapter.tex
Deformation retracts preserve homotopy type	theorem	VIII	VIII/02	Homotopy Equivalence and Contractibility	thm:viii02-dr-equivalence	books/vol08_algebraic_topology/chapters/ch02_homotopy_equivalence_and_contractibility/chapter.tex
Degree and \(\pi_1(S^1)\)	proposition	VIII	VIII/09	Paths and Fundamental Groups	prop:viii09-degree	books/vol08_algebraic_topology/chapters/ch09_paths_and_fundamental_groups/chapter.tex
Degree and multiplicity transformation	proposition	VI	VI/45	Blow-Ups	prop:vi45-degree-multiplicity-action	books/vol06_algebraic_geometry/chapters/ch45_blow_ups/chapter.tex
Degree determines two-cell attachment type	corollary	VIII	VIII/08	Homotopic Attaching Maps	cor:viii08-degree	books/vol08_algebraic_topology/chapters/ch08_homotopic_attaching_maps/chapter.tex
Degree drop records exceptional geometry	proposition	VI	VI/44	Cremona Transformations	prop:vi44-cancellation	books/vol06_algebraic_geometry/chapters/ch44_cremona_transformations/chapter.tex
Degree for a smooth map	definition	VIII	VIII/03	Degree of Maps	def:viii03-degree	books/vol08_algebraic_topology/chapters/ch03_degree_of_maps/chapter.tex
Degree of a composite	theorem	VIII	VIII/03	Degree of Maps	thm:viii03-multiplicative	books/vol08_algebraic_topology/chapters/ch03_degree_of_maps/chapter.tex
Degree of a homotopy equivalence	corollary	VIII	VIII/03	Degree of Maps	cor:viii03-equivalence	books/vol08_algebraic_topology/chapters/ch03_degree_of_maps/chapter.tex
Degree of the antipodal map	theorem	VIII	VIII/03	Degree of Maps	thm:viii03-antipodal	books/vol08_algebraic_topology/chapters/ch03_degree_of_maps/chapter.tex
Degree on a proper curve	definition	VI	VI/39	Weil Divisors	def:vi39-curve-degree	books/vol06_algebraic_geometry/chapters/ch39_weil_divisors/chapter.tex
Degree transform under the standard quadratic map	theorem	VI	VI/44	Cremona Transformations	thm:vi44-degree-transform	books/vol06_algebraic_geometry/chapters/ch44_cremona_transformations/chapter.tex
Degree zero is global sections	proposition	VI	VI/47	Čech Cohomology	prop:vi47-h0	books/vol06_algebraic_geometry/chapters/ch47_ech_cohomology/chapter.tex
Degree-one rigidity on a smooth cubic	theorem	VI	VI/43	Plane Cubics	thm:vi43-degree-one-rigidity	books/vol06_algebraic_geometry/chapters/ch43_plane_cubics/chapter.tex
Degree-two map to the sphere	theorem	IV	IV/29	The Weierstrass ℘-Function	thm:iv29-04	books/vol04_complex_analysis/chapters/ch29_the_weierstrass_function/chapter.tex
Degree-zero calculation for $\mathcal O(n)$	theorem	VI	VI/47	Čech Cohomology	thm:vi47-on-h0	books/vol06_algebraic_geometry/chapters/ch47_ech_cohomology/chapter.tex
Degree-zero homogeneous localization	definition	VI	VI/34	Proj	UNLABELLED	books/vol06_algebraic_geometry/chapters/ch34_graded_rings/chapter.tex
Degree-zero Picard group	definition	VI	VI/42	Line Bundles and Picard Groups	def:vi42-pic-zero	books/vol06_algebraic_geometry/chapters/ch42_line_bundles_and_picard_groups/chapter.tex
Delaunay positivity of cotangent edge weights	theorem	VII	VII/41	Discrete Laplacians	thm:vii41-delaunay	books/vol07_differential_geometry/chapters/ch41_discrete_laplacians/chapter.tex
Density consequence	theorem	II	II/21	Polynomial Approximation	thm:ii21-03	books/vol02_real_analysis/chapters/ch21_polynomial_approximation/chapter.tex
Density criterion	corollary	VI	VI/02	The Zariski Topology	cor:vi02-density	books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/chapter.tex
Density of $C_c^\infty$ in $L^p$	theorem	III	III/22	Approximation and Density	thm:iii22-03	books/vol03_fourier_distributions_pde/chapters/ch22_approximation_and_density/chapter.tex
Density of loxodromic fixed points	theorem	VII	VII/37	Kleinian Groups and Boundary Geometry	thm:vii37-lox-density	books/vol07_differential_geometry/chapters/ch37_kleinian_groups_and_boundary_geometry/chapter.tex
Dependence lemma	theorem	I	I/02	Subspaces, Span and Linear Independence	thm:i02-02	books/vol01_linear_algebra/chapters/ch02_subspaces_span_and_linear_independence/chapter.tex
Dependence only on direction	proposition	VII	VII/15	First and Second Fundamental Forms	prop:vii15-direction	books/vol07_differential_geometry/chapters/ch15_first_and_second_fundamental_forms/chapter.tex
Derivation at a point	definition	VII	VII/04	Tangent Spaces	def:vii04-derivation	books/vol07_differential_geometry/chapters/ch04_tangent_spaces/chapter.tex
Derivative at the origin	proposition	VII	VII/23	Geodesics	prop:vii23-exp-derivative	books/vol07_differential_geometry/chapters/ch23_geodesics/chapter.tex
Derivative commutation	theorem	III	III/22	Approximation and Density	thm:iii22-02	books/vol03_fourier_distributions_pde/chapters/ch22_approximation_and_density/chapter.tex
Derivative jump in one dimension	theorem	III	III/25	Green Functions	thm:iii25-03	books/vol03_fourier_distributions_pde/chapters/ch25_green_functions/chapter.tex
Derivative limit theorem	theorem	II	II/12	Interchanging Limits, Derivatives and Integrals	thm:ii12-02	books/vol02_real_analysis/chapters/ch12_interchanging_limits_derivatives_and_integrals/chapter.tex
Derivative of Heaviside	theorem	III	III/16	Distributions and Distributional Derivatives	thm:iii16-02	books/vol03_fourier_distributions_pde/chapters/ch16_distributions_and_distributional_derivatives/chapter.tex
Derivative of inverse	theorem	II	II/09	Inverse and Implicit Function Principles	thm:ii09-02	books/vol02_real_analysis/chapters/ch09_inverse_and_implicit_function_principles/chapter.tex
Derivative rule	theorem	III	III/19	Fourier Transform of Distributions	thm:iii19-02	books/vol03_fourier_distributions_pde/chapters/ch19_fourier_transform_of_distributions/chapter.tex
Derivatives preserve temperedness	theorem	III	III/18	Tempered Distributions	thm:iii18-02	books/vol03_fourier_distributions_pde/chapters/ch18_tempered_distributions/chapter.tex
Derived functors produce long exact sequences	theorem	V	V/28	Derived-Functor Viewpoint	thm:v28-03	books/vol05_commutative_algebra/chapters/ch28_derived_functor_viewpoint/chapter.tex
Developable implies zero Gaussian curvature	theorem	VII	VII/18	Ruled and Developable Surfaces	thm:vii18-kzero	books/vol07_differential_geometry/chapters/ch18_ruled_and_developable_surfaces/chapter.tex
Developable ruled surface	definition	VII	VII/18	Ruled and Developable Surfaces	def:vii18-developable	books/vol07_differential_geometry/chapters/ch18_ruled_and_developable_surfaces/chapter.tex
Diagonal	proposition	VII	VII/06	Submanifolds and Products	prop:vii06-diagonal	books/vol07_differential_geometry/chapters/ch06_submanifolds_and_products/chapter.tex
Diffeomorphism	definition	VII	VII/03	Smooth Maps and Diffeomorphisms	def:vii03-diffeomorphism	books/vol07_differential_geometry/chapters/ch03_smooth_maps_and_diffeomorphisms/chapter.tex
Diffeomorphisms	corollary	VII	VII/04	Tangent Spaces	cor:vii04-diffeomorphism	books/vol07_differential_geometry/chapters/ch04_tangent_spaces/chapter.tex
Differentiability implies continuity	theorem	II	II/08	Differentiability in Several Variables	thm:ii08-01	books/vol02_real_analysis/chapters/ch08_differentiability_in_several_variables/chapter.tex
Differential of a function	definition	VII	VII/05	Cotangent Spaces	def:vii05-df	books/vol07_differential_geometry/chapters/ch05_cotangent_spaces/chapter.tex
Differential of a product map	corollary	VII	VII/06	Submanifolds and Products	cor:vii06-product-map	books/vol07_differential_geometry/chapters/ch06_submanifolds_and_products/chapter.tex
Differential or pushforward	definition	VII	VII/04	Tangent Spaces	def:vii04-differential	books/vol07_differential_geometry/chapters/ch04_tangent_spaces/chapter.tex
Differentiation in exponent	theorem	IV	IV/21	Keyhole Contours and Branch-Cut Integrals	thm:iv21-03	books/vol04_complex_analysis/chapters/ch21_keyhole_contours_and_branch_cut_integrals/chapter.tex
Dijkstra correctness	theorem	VII	VII/39	Graph and Exact Mesh Geodesics	thm:vii39-dijkstra	books/vol07_differential_geometry/chapters/ch39_graph_and_exact_mesh_geodesics/chapter.tex
Dimension	proposition	VII	VII/05	Cotangent Spaces	prop:vii05-dimension	books/vol07_differential_geometry/chapters/ch05_cotangent_spaces/chapter.tex
Dimension	proposition	VII	VII/09	Differential Forms	prop:vii09-dim	books/vol07_differential_geometry/chapters/ch09_differential_forms/chapter.tex
Dimension	definition	VIII	VIII/06	CW Complexes	def:viii06-dimension	books/vol08_algebraic_topology/chapters/ch06_cw_complexes/chapter.tex
Dimension	definition	VIII	VIII/15	Simplicial Complexes	def:viii15-simplex-dim	books/vol08_algebraic_topology/chapters/ch15_simplicial_complexes/chapter.tex
Dimension criterion	theorem	I	I/11	Diagonalization and Minimal Polynomials	thm:i11-01	books/vol01_linear_algebra/chapters/ch11_diagonalization_and_minimal_polynomials/chapter.tex
